,tokens,types,hapax,dis,tris,tetrakis,pentakis,types_pred_iseries,logM,logN,types_pred_heaps,types_pred_model,types_frac,types_frac_pred,hapax_pred_model,hapax_frac,hapax_frac_pred,dis_pred_model,dis_frac,dis_frac_pred,tris_pred_model,tris_frac,tris_frac_pred,tetrakis_pred_model,tetrakis_frac,tetrakis_frac_pred,pentakis_pred_model,pentakis_frac,pentakis_frac_pred,bookid,title
0,769,355,257,39,14,11,12,349,6.645090969505644,5.872117789475416,497.92873862687327,265.45893762577737,1.0,1.0,207.49925941608677,0.723943661971831,0.7816623590523161,27.96339926299373,0.10985915492957747,0.10533982962899624,9.881257589097922,0.03943661971830986,0.03722329968421603,4.996371262562763,0.030985915492957747,0.018821635117090105,3.010497816770776,0.03380281690140845,0.011340728791037103,1,Emma by Jane Austen 1816
1,1538,540,348,81,30,20,12,564,7.338238150065589,6.29156913955832,707.8073264746059,451.7065714444207,1.0,1.0,339.3232439095459,0.6444444444444445,0.751202805893421,53.064066575872644,0.15,0.1174746393575587,19.343019270470332,0.05555555555555555,0.042822089589304,9.869661995651352,0.037037037037037035,0.02184971975079124,5.9696510663396865,0.022222222222222223,0.01321577201600267,1,Emma by Jane Austen 1816
2,2307,723,480,87,34,29,12,739,7.7437032581737535,6.583409222158765,869.4944701718312,610.0436056348934,1.0,1.0,445.75081258019054,0.6639004149377593,0.7306868041281775,76.24667227653099,0.12033195020746888,0.12498561016335619,28.448108796257365,0.04702627939142462,0.04663291039113579,14.629664964692607,0.040110650069156296,0.02398134302131896,8.880056567807634,0.016597510373443983,0.01455642922208135,1,Emma by Jane Austen 1816
3,3076,879,560,125,50,38,16,892,8.031385330625534,6.778784897685177,1006.150423839165,751.0583141786742,1.0,1.0,536.8907052959333,0.6370875995449374,0.7148455654645864,97.93638507417315,0.1422070534698521,0.1303978442489812,37.23880895754181,0.05688282138794084,0.049581781140742194,19.284331109144098,0.04323094425483504,0.025676210149184798,11.744007620727093,0.01820250284414107,0.015636612229730583,1,Emma by Jane Austen 1816
4,3845,1082,690,152,56,44,30,1029,8.254528881939745,6.9865664594064265,1126.7738056642825,879.676326623755,1.0,1.0,617.3632793618904,0.6377079482439926,0.7018073133005225,118.39603475012213,0.14048059149722736,0.13459045238210793,45.74705400905645,0.051756007393715345,0.05200441642511411,23.84038100404755,0.04066543438077634,0.02710131020070554,14.563560626625241,0.027726432532347505,0.01655559003448572,1,Emma by Jane Austen 1816
5,4614,1156,722,161,76,44,21,1154,8.4368504387337,7.052721049232323,1235.9892261168688,998.745084205531,1.0,1.0,689.7983971529036,0.6245674740484429,0.6906651237253554,137.80841749400642,0.13927335640138408,0.1379815727489948,53.99831120540663,0.0657439446366782,0.054066159683139284,28.303630144306155,0.03806228373702422,0.028339193445763754,17.340579073917855,0.018166089965397925,0.017362367382976123,1,Emma by Jane Austen 1816
6,5383,1290,800,187,84,42,25,1270,8.591001118560957,7.162397497355718,1336.5482811408297,1110.1136311742093,1.0,1.0,755.8797834745282,0.6201550387596899,0.6809030735664469,156.3094781067216,0.1449612403100775,0.14080493538430577,62.01358726344172,0.06511627906976744,0.05586237797823237,32.67919267866883,0.03255813953488372,0.029437700574942768,20.07676513474854,0.01937984496124031,0.01808532439468614,1,Emma by Jane Austen 1816
7,6152,1362,815,192,109,45,38,1379,8.72453251118548,7.216709486709457,1430.2461101016181,1215.0747449934008,1.0,1.0,816.769222500471,0.5983847283406755,0.6721966906693522,174.0048792258885,0.14096916299559473,0.14320508260323814,69.81062126929766,0.08002936857562408,0.05745376698589584,36.971620421698034,0.03303964757709251,0.030427445368308458,22.773683523800205,0.027900146842878122,0.018742619429493526,1,Emma by Jane Austen 1816
8,6921,1502,914,227,99,46,33,1481,8.842315546841863,7.31455283232408,1518.3309879728054,1314.5800352267995,1.0,1.0,873.3113789233383,0.6085219707057257,0.6643272798317443,190.97938048380632,0.1511318242343542,0.14527786469148482,77.40465740383166,0.0659121171770972,0.05888166207428925,41.18500309639958,0.03062583222370173,0.031329399498520524,25.432780140626367,0.021970705725699067,0.019346695871764512,1,Emma by Jane Austen 1816
9,7690,1549,920,236,109,61,32,1578,8.94767606249969,7.3453648404168685,1601.712640905619,1409.3571654178947,1.0,1.0,926.1446168663937,0.5939315687540349,0.657139751080613,207.30261438349626,0.15235635894125243,0.1470901908119423,84.80897594465422,0.07036797934151065,0.06017564463122244,45.323043520298846,0.039380245319561004,0.03215866398696735,28.055397009464876,0.02065848934796643,0.019906520290153735,1,Emma by Jane Austen 1816
